Name,Pos,Fg%,Fg3%,Fg2%,Ft%,Orb,Drb,Ast,Blk,Stl,Pts
,PF,.518,.296,.586,.667,41,97,36,5,36,150
,PF,.405,.327,.470,.732,17,72,35,13,15,146
,PF,.250,.182,.400,.500,2,8,5,1,1,12
,PF,.429,.364,.475,.757,15,64,30,12,14,134
,PF,.496,.333,.510,.690,45,68,36,14,12,144
,SF,.448,.300,.582,.761,16,42,28,5,15,144
,SG,.464,.416,.576,.714,7,29,23,2,4,144
,C,.624,,.624,.491,54,103,26,16,6,142
,PG,.418,.500,.413,.750,11,65,145,4,17,139
,SG,.471,.435,.632,1.000,7,33,24,7,5,137
,PF,.602,.143,.634,.400,46,57,57,5,23,137
,PF,.621,.167,.654,.417,29,46,50,3,18,114
,PF,.524,.000,.550,.333,17,11,7,2,5,23
,SG,.446,.260,.577,.652,14,36,20,3,10,136
,PG,.490,.412,.639,.833,11,41,50,6,13,135
,PF,.538,.364,.633,.700,26,55,18,16,8,133
,PF,.422,.300,.609,.875,10,41,37,5,8,133
,SG,.440,.453,.419,.906,8,43,11,7,8,127
,SF,.439,.339,.571,.846,31,66,24,18,39,127
,PF,.333,.250,1.000,.500,2,6,7,2,6,9
,SF,.449,.354,.561,.875,29,60,17,16,33,118
,PG,.351,.276,.500,1.000,9,26,34,1,20,127
,PG,.373,.382,.353,,5,15,14,1,9,51
,PG,.338,.208,.593,1.000,4,11,20,0,11,76
,SG,.500,.370,.611,.727,43,70,50,6,16,125
,PF,.385,.289,.458,.683,25,54,22,4,7,121
,C,.617,.000,.641,.588,46,82,50,33,11,120
,PF,.409,.400,.418,.889,12,51,40,11,15,120
,SF,.353,.294,.516,.588,11,43,15,7,12,117
,SF,.361,.320,.500,.667,11,34,10,7,9,104
,SF,.316,.100,.556,.000,0,9,5,0,3,13
,PF,.385,.333,.455,.833,26,56,60,20,20,115
,PF,.474,.333,.571,.750,23,53,21,4,10,115
,PG,.352,.301,.520,.813,5,31,49,2,9,114
,PF,.345,.286,.462,.667,15,33,25,5,13,114
,SF,.600,.370,.729,.769,20,47,5,8,10,110
,SG,.351,.348,.357,.750,9,44,23,11,16,110
,C,.597,.214,.690,.857,20,42,15,13,7,107
,SF,.357,.280,.567,.571,18,62,20,7,9,107
,SF,.507,.375,.615,.680,18,42,16,5,6,101
,SF,.267,.250,.286,,8,6,6,1,0,10
,SF,.571,.417,.688,.680,10,36,10,4,6,91
,C,.480,.281,.628,.720,19,12,4,1,4,99
,C,.500,.533,.491,.760,28,56,34,8,7,99
,PF,.430,.355,.479,.783,15,22,10,5,10,97
,SF,.415,.403,.467,1.000,6,67,15,5,12,96
,PF,.462,.292,.537,.654,12,26,33,5,6,96
,PF,.378,.300,.407,.533,2,13,14,3,3,39
,PF,.167,.000,.250,,0,3,0,0,0,2
,PF,.600,.333,.739,.818,10,10,19,2,3,55
,SF,.415,.385,.467,.556,9,33,15,4,10,93
,PG,.581,,.581,.400,31,88,86,9,12,92
,C,.691,,.691,.667,56,91,25,19,8,92
,PF,.411,.292,.548,.500,20,42,25,6,12,89
,SF,.410,.289,.576,.800,19,34,19,9,10,89
,SF,.416,.316,.513,.684,12,24,13,7,7,89
,PG,.370,.121,.508,.850,9,17,37,2,9,89
,PG,.308,.100,.438,.909,4,10,18,1,5,44
,PG,,,,,0,0,0,0,0,0
,PG,.450,.154,.593,.778,5,7,19,1,4,45
,SG,.395,.350,.444,.700,4,26,25,3,14,88
,SG,.372,.300,.447,.818,18,27,28,3,12,88
,PG,.464,.395,.548,.667,1,20,27,0,13,87
,C,.433,.278,.613,.773,6,30,13,7,5,85
,SG,.378,.200,.400,.765,11,40,92,3,11,83
,SG,.500,.387,.600,.625,3,30,14,13,3,83
,PF,.509,.370,.643,.941,17,32,14,2,4,82
,SG,.370,.225,.481,.500,6,27,27,5,7,81
,SG,.436,.207,.571,.778,6,18,19,2,4,81
,SG,.400,.174,.563,1.000,3,11,16,0,3,51
,SG,.522,.333,.588,.667,3,7,3,2,1,30
,SG,.381,.273,.500,.800,6,26,13,2,3,80
,PG,.408,.320,.457,.824,14,31,54,9,11,80
,C,.419,.333,.424,.605,48,64,39,5,9,76
,C,.508,,.508,.290,37,49,7,7,5,75
,SG,.453,.379,.514,.556,10,16,16,1,3,74
,PG,.364,.125,.462,.744,9,22,30,3,7,71
,SF,.481,.450,.500,.667,9,39,24,11,8,69
,PF,.559,.167,.604,.143,13,19,9,6,5,68
,PF,.338,.357,.308,.833,4,35,16,3,5,66
,SG,.394,.091,.531,.545,17,23,20,5,7,64
,C,.725,.000,.744,.833,23,53,21,17,8,63
,PG,.359,.310,.455,.571,6,24,42,3,4,63
,SG,.540,.400,.556,.538,12,11,7,1,4,63
,SF,.297,.245,.400,.556,30,26,21,10,9,61
,PG,.286,.167,.375,.933,4,20,28,0,7,59
,PG,.288,.167,.389,.917,4,19,28,0,7,54
,PG,.250,,.250,1.000,0,1,0,0,0,5
,C,.460,.214,.556,.538,12,18,6,3,2,56
,C,.500,.273,.576,.538,12,14,6,3,1,54
,C,.167,.000,.333,,0,4,0,0,1,2
,PG,.370,.200,.436,.647,4,9,17,1,1,54
,PF,.475,.429,.526,.750,10,33,6,6,4,53
,PG,.556,.474,.647,.750,3,17,27,1,7,52
,PG,.391,.371,.455,.600,0,4,12,0,8,52
,PF,.360,.371,.333,1.000,28,57,16,7,16,52
,PF,.400,.400,,,1,13,0,2,3,6
,PF,.356,.367,.333,1.000,27,44,16,5,13,46
,SG,.439,.433,.455,.500,1,8,6,1,1,50
,SF,.472,.400,.500,.857,4,13,8,5,5,50
,PF,.600,.250,.727,.833,8,20,7,7,6,48
,PF,.000,,.000,,0,1,2,0,0,0
,PF,.621,.250,.762,.833,8,19,5,7,6,48
,SF,.290,.256,.348,1.000,2,16,5,2,1,48
,SF,.514,.385,.591,.700,11,26,2,4,6,48
,SG,.439,.273,.632,.833,4,18,8,0,7,47
,PF,.513,.222,.600,.800,17,20,10,2,5,46
,SF,.485,.083,.714,.800,8,14,10,3,7,45
,C,.529,.000,.563,.643,7,25,6,2,1,45
,PG,.519,.750,.478,.765,2,11,14,3,10,44
,PG,.520,.667,.500,.765,2,9,11,3,8,41
,PG,.500,1.000,.000,,0,2,3,0,2,3
,SG,.340,.308,.351,.455,8,36,26,2,6,43
,SF,.500,.481,.667,,3,13,10,0,2,43
,SF,.500,.500,,,0,1,1,0,0,3
,SF,.444,.500,.000,,0,3,6,0,0,12
,SF,.526,.471,1.000,,3,9,3,0,2,28
,PG,.326,.344,.286,.500,7,11,5,1,1,42
,SG,.429,.360,.600,.750,1,13,21,0,4,42
,PG,.315,.294,.324,.750,4,16,25,3,7,42
,SF,.395,.333,.625,1.000,1,6,5,1,1,42
,SF,.306,.303,.313,.250,1,13,10,2,1,41
,SF,.439,.154,.571,.750,5,17,9,1,4,41
,C,.654,,.654,.778,11,27,5,7,7,41
,SG,.368,.176,.524,.750,3,17,18,5,7,40
,SG,.359,.333,.444,.500,3,10,10,2,3,39
,SF,.424,.348,.600,1.000,6,23,8,5,5,39
,SG,.455,.412,.500,1.000,6,8,14,3,9,39
,C,.680,.000,.708,.750,10,24,4,7,3,37
,C,,,,,0,2,0,0,0,0
,C,.680,.000,.708,.750,10,22,4,7,3,37
,PF,.519,,.519,.667,19,17,0,0,1,36
,C,.696,,.696,.231,11,21,3,6,1,35
,C,.636,,.636,.500,20,31,13,20,3,34
,SF,.310,.320,.250,.800,3,7,3,1,0,34
,SG,.222,.133,.267,.600,2,11,8,2,3,34
,C,.579,.333,.692,.667,10,26,2,7,0,34
,PG,.306,.107,.571,.500,4,5,21,0,9,34
,PF,.405,.200,.481,1.000,12,25,11,7,3,34
,PF,.304,.000,.412,1.000,10,18,9,6,2,16
,PF,.571,.500,.600,,2,7,2,1,1,18
,SG,.423,.500,.333,.800,7,15,10,2,3,33
,C,.429,,.429,.750,29,36,9,14,6,33
,SG,.326,.118,.448,.500,8,10,21,3,3,33
,PF,.533,.000,.552,.000,7,6,17,4,7,32
,PF,.353,.250,.500,1.000,9,7,4,3,3,32
,SG,.381,.400,.364,.917,3,4,3,1,3,31
,SG,.333,.118,.563,.636,1,5,5,3,1,31
,C,.526,,.526,.643,15,9,4,1,5,29
,SF,.333,.280,.600,.500,1,6,6,2,2,29
,SF,.650,.400,.733,.500,5,15,8,1,2,29
,PG,.375,.353,.429,.500,1,2,6,0,5,27
,SG,.556,.500,.583,1.000,2,8,5,0,2,26
,PF,.289,.000,.314,.444,12,11,5,18,3,26
,SF,.500,.200,.588,.750,3,18,5,0,2,26
,PF,.385,.375,.400,.000,3,14,7,0,1,26
,PF,.500,,.500,.750,8,8,2,1,2,26
,C,.563,,.563,1.000,6,6,3,0,2,24
,PF,.348,.333,.357,.833,10,12,4,4,5,24
,PG,.333,.125,.438,.857,6,3,7,0,3,23
,PF,.588,.429,.700,,2,5,6,1,1,23
,C,.600,.333,1.000,1.000,2,9,2,3,2,23
,PF,.417,.300,.500,.000,3,7,6,0,2,23
,SF,.292,.350,.000,1.000,3,11,1,1,4,23
,SF,.333,.375,.000,1.000,0,9,0,1,2,20
,SF,.167,.250,.000,,3,2,1,0,2,3
,SG,.526,.125,.818,.333,1,8,4,1,0,22
,SF,.412,.400,.417,.750,3,15,9,1,2,22
,SG,.533,.000,.615,.625,3,2,5,0,0,21
,PG,.357,.111,.474,,3,16,11,0,1,21
,PG,.238,.000,.385,,2,8,8,0,0,10
,PG,.714,1.000,.667,,1,8,3,0,1,11
,SF,.643,.000,.750,1.000,3,10,3,2,1,20
,PG,.429,.250,.538,,1,6,12,2,6,20
,PF,.400,.286,.667,,1,8,2,0,1,20
,C,.265,.200,.276,.000,15,23,2,4,3,19
,C,.368,.250,.455,1.000,3,2,4,3,1,18
,SG,.421,.143,.583,.500,4,4,5,0,2,18
,SG,.500,.000,.750,,0,12,6,1,5,18
,PF,.364,.167,.438,.000,7,18,3,2,2,17
,SG,.417,.429,.400,.750,2,8,10,1,1,16
,PF,.455,.333,.500,.444,3,6,4,4,0,15
,SF,.400,.222,.667,.500,5,15,5,1,5,15
,SF,.400,.200,.500,1.000,4,1,0,0,3,15
,SF,.167,.000,.250,1.000,2,0,0,0,0,4
,SF,.556,.333,.667,,2,1,0,0,3,11
,SG,.333,.250,.667,.500,0,0,5,1,1,14
,SG,.353,.200,.571,.000,0,5,5,1,0,14
,SF,.235,.231,.250,.750,1,6,0,0,0,14
,SG,.308,.500,.273,.833,1,6,5,1,2,14
,PG,.300,.333,.286,,1,4,5,0,3,14
,SF,.261,.000,.375,.500,4,13,5,0,4,13
,SF,.556,.500,.571,1.000,3,2,0,0,0,13
,SF,.556,.250,.800,1.000,3,4,3,1,0,13
,PF,.667,.000,.800,.667,1,3,2,1,1,12
,PF,.800,,.800,.667,1,2,2,1,0,12
,PF,.000,.000,,,0,1,0,0,1,0
,PG,.571,.667,.500,1.000,0,2,2,0,0,12
,PG,.316,.000,.375,,6,11,16,1,2,12
,SG,.375,.250,.500,.800,2,2,3,0,1,11
,SF,.400,.333,.500,.500,1,3,4,1,2,11
,SF,.313,.333,.308,,4,6,4,0,1,11
,SF,.190,.111,.250,.667,2,2,6,1,2,11
,PF,.667,.600,1.000,,0,1,1,0,2,11
,PG,.286,.125,.500,.500,2,4,8,0,0,10
,PF,.667,1.000,.500,,1,1,2,2,0,10
,PF,.300,.000,.375,1.000,1,3,8,1,5,8
,SF,.667,.000,1.000,,1,6,2,1,1,8
,PG,.300,.500,.167,,0,0,3,0,0,8
,SG,.250,.286,.000,.500,1,4,5,0,1,7
,SF,.250,.250,.250,,4,10,4,1,1,7
,SG,.200,.286,.000,,1,1,0,2,0,6
,SF,.125,.200,.000,,4,8,1,1,4,6
,PG,.400,.000,.667,1.000,0,0,0,0,0,6
,PG,.111,.125,.000,1.000,1,5,4,0,0,5
,SG,.250,.000,.500,1.000,0,1,0,1,0,5
,PG,.400,.000,.500,,1,1,0,0,0,4
,SG,.667,,.667,,0,2,1,0,0,4
,SG,.500,.000,.667,,1,0,3,0,0,4
,PF,.167,.000,1.000,1.000,0,5,1,2,2,4
,PG,.500,.000,1.000,,2,2,5,0,0,4
,SG,.143,.167,.000,,0,0,4,0,0,3
,PF,.167,.000,.200,.500,3,4,1,3,1,3
,SF,.200,.000,.500,.500,0,4,3,1,0,3
,PF,.167,1.000,.000,.000,0,3,0,0,1,3
,C,.500,,.500,.500,0,1,0,0,0,3
,C,,,,,0,1,0,0,0,0
,C,.500,,.500,.500,0,0,0,0,0,3
,SG,.500,,.500,,2,0,1,0,2,2
,SG,.500,,.500,,0,2,0,1,0,2
,PG,.000,,.000,1.000,0,4,2,0,1,2
,SG,.000,,.000,1.000,2,0,2,0,1,2
,SG,.333,.000,.500,,1,0,0,1,0,2
,SG,.333,.000,.500,,0,0,0,0,0,2
,PG,.000,.000,,,0,8,4,0,2,0
,SG,,,,,0,0,0,0,0,0
,PG,.000,,.000,,0,0,0,0,0,0
,SG,.000,.000,.000,,0,0,0,1,1,0
,SF,.000,.000,.000,,0,1,0,0,0,0
,SG,.000,.000,.000,,0,2,1,0,1,0
,PF,,,,,0,0,1,0,0,0
,SF,,,,,0,0,0,0,0,0
,C,.000,,.000,,0,0,0,0,0,0
,PG,,,,,0,0,0,0,0,0
,,.474,.366,.545,.784,,,,,,
