Name,Pos,Fg%,Fg3%,Fg2%,Ft%,Orb,Drb,Ast,Blk,Stl,Pts
,C,.485,.366,.621,.821,117,292,127,189,43,990
,SG,.475,.337,.530,.806,111,403,386,44,51,986
,PG,.391,.334,.459,.848,15,196,332,7,36,974
,SG,.426,.393,.464,.771,25,163,119,10,77,974
,SG,.513,.430,.552,.813,54,178,265,27,52,964
,SG,.421,.325,.486,.766,39,241,346,34,76,952
,SG,.471,.397,.556,.756,48,181,205,47,106,943
,SG,.413,.294,.485,.881,49,139,277,6,35,942
,SF,.453,.358,.498,.751,108,213,119,41,42,939
,PF,.436,.320,.558,.683,85,326,141,59,72,939
,PF,.446,.324,.558,.713,53,179,97,32,38,600
,PF,.421,.314,.556,.627,32,147,44,27,34,339
,PG,.435,.338,.490,.826,64,247,236,37,64,937
,SG,.501,.403,.568,.810,54,162,242,36,68,924
,PF,.537,.422,.597,.739,58,236,81,25,41,923
,C,.570,.100,.576,.823,176,433,90,42,56,920
,SF,.428,.359,.492,.844,53,193,119,10,64,915
,SF,.511,.355,.574,.728,74,414,203,47,67,896
,SF,.459,.385,.521,.847,31,191,87,16,40,891
,SG,.443,.413,.533,.714,41,249,108,9,59,889
,SF,.489,.322,.558,.811,82,203,195,20,77,889
,SF,.496,.419,.581,.781,63,212,108,49,65,877
,SG,.441,.396,.478,.856,19,203,188,3,30,875
,SF,.450,.395,.579,.889,15,158,192,16,46,875
,PG,.457,.442,.481,.911,37,181,449,17,88,869
,PG,.385,.325,.416,.819,53,141,336,13,48,868
,C,.601,.330,.673,.814,117,230,96,21,39,868
,PF,.454,.398,.507,.785,22,130,97,5,30,868
,PF,.468,.415,.518,.779,13,81,71,4,23,565
,SF,.430,.370,.488,.800,9,49,26,1,7,303
,SF,.416,.316,.522,.837,167,244,92,11,51,863
,PF,.438,.308,.492,.771,137,339,249,40,62,861
,SF,.438,.394,.506,.826,74,210,113,47,72,860
,PG,.480,.429,.526,.833,84,289,333,53,61,860
,SF,.446,.374,.481,.821,60,174,119,14,35,856
,SF,.418,.351,.546,.794,66,272,283,29,64,853
,PF,.573,.403,.706,.770,85,235,128,43,47,843
,SF,.443,.380,.602,.815,42,238,124,28,51,842
,C,.629,.200,.633,.551,193,513,147,146,46,841
,C,.619,.000,.623,.790,192,517,147,47,33,841
,SF,.498,.418,.568,.867,74,198,199,62,105,837
,C,.571,.000,.572,.631,335,441,91,106,43,836
,PG,.431,.359,.475,.806,33,122,308,13,44,833
,C,.510,.244,.555,.640,224,613,301,80,81,829
,SF,.493,.381,.563,.833,40,217,292,15,51,828
,C,.725,,.725,.674,195,367,115,153,65,814
,C,.690,,.690,.706,131,230,69,97,44,490
,PF,.780,,.780,.607,64,137,46,56,21,324
,PG,.392,.337,.467,.805,30,175,356,22,51,795
,PG,.391,.320,.480,.781,26,132,288,9,38,604
,PG,.397,.389,.412,.880,4,43,68,13,13,191
,C,.649,,.649,.723,196,430,93,83,22,794
,PG,.489,.414,.537,.800,20,159,485,18,71,790
,PG,.468,.385,.593,.821,70,195,281,6,39,787
,PF,.580,.373,.604,.719,111,357,160,72,45,785
,PF,.456,.375,.558,.757,86,232,174,39,44,784
,PF,.413,.376,.486,.745,46,123,81,27,24,382
,PF,.503,.373,.605,.765,40,109,93,12,20,402
,C,.484,.320,.552,.753,118,252,194,52,34,776
,PF,.446,.391,.519,.789,55,196,138,15,49,776
,PG,.505,.335,.584,.856,58,231,478,9,78,771
,PF,.449,.376,.572,.850,22,256,98,18,30,768
,SG,.460,.406,.520,.894,31,152,183,42,98,766
,C,.555,.387,.632,.833,108,303,347,30,74,762
,C,.562,.429,.626,.842,63,191,219,12,37,406
,C,.548,.338,.637,.824,45,112,128,18,37,356
,SF,.434,.310,.511,.791,128,547,331,23,75,761
,SF,.489,.337,.592,.722,56,168,101,42,63,757
,PG,.454,.273,.509,.688,93,250,306,23,74,754
,SG,.443,.378,.561,.797,16,106,139,30,66,749
,SF,.489,.382,.581,.753,47,161,107,36,68,733
,SF,.489,.374,.608,.717,24,82,72,13,28,408
,SF,.488,.394,.553,.791,23,79,35,23,40,325
,PG,.556,.409,.568,.790,36,155,390,8,72,727
,SG,.478,.323,.538,.824,53,231,192,17,59,726
,SG,.475,.327,.545,.817,25,129,100,8,35,398
,PG,.481,.317,.532,.833,28,102,92,9,24,328
,SG,.468,.408,.563,.760,62,211,247,70,120,715
,SF,.446,.424,.559,.895,45,231,82,25,40,712
,PF,.428,.357,.502,.752,53,143,59,24,28,699
,PF,.442,.396,.519,.735,21,209,119,35,58,697
,SF,.460,.401,.551,.818,64,182,101,23,44,692
,SF,.450,.391,.560,.800,52,124,73,18,30,445
,SF,.479,.426,.539,.846,12,58,28,5,14,247
,PG,.432,.347,.494,.873,28,120,156,8,27,690
,SG,.369,.376,.360,.868,24,126,88,12,28,689
,SG,.394,.401,.384,.903,16,94,68,11,21,540
,SG,.307,.301,.313,.727,8,32,20,1,7,149
,SG,.454,.385,.499,.633,118,309,273,14,61,682
,C,.556,.000,.560,.592,265,443,37,48,73,663
,SG,.515,.348,.633,.832,87,167,119,15,43,658
,SF,.483,.343,.613,.713,82,168,75,51,53,657
,SG,.439,.391,.517,.800,35,132,204,42,64,655
,SG,.443,.361,.571,.766,38,186,166,23,45,655
,PF,.435,.349,.534,.621,72,280,138,54,43,654
,C,.691,.000,.693,.737,172,367,54,74,26,652
,SF,.490,.391,.570,.679,67,139,132,34,57,647
,SF,.431,.349,.489,.778,74,207,143,29,47,640
,SF,.460,.295,.522,.754,151,357,71,22,42,638
,SG,.458,.416,.568,.865,32,148,99,22,46,636
,PG,.498,.357,.567,.804,36,105,280,6,63,626
,C,.461,.359,.559,.742,93,157,67,38,33,617
,PG,.440,.412,.458,.819,28,120,214,8,27,613
,SF,.397,.370,.496,.686,60,317,219,44,59,608
,SF,.388,.366,.483,.682,38,183,137,29,32,364
,SF,.411,.376,.509,.692,22,134,82,15,27,244
,C,.525,.374,.626,.694,112,269,95,28,35,603
,C,.592,.424,.689,.692,112,225,63,38,17,601
,SG,.460,.384,.498,.694,79,227,132,35,42,600
,C,.540,.368,.563,.718,193,295,109,84,67,600
,SF,.536,.138,.595,.684,148,261,163,38,78,592
,PG,.428,.375,.474,.879,11,114,236,12,44,586
,C,.586,.391,.597,.762,130,182,55,33,20,583
,C,.591,.167,.606,.820,46,72,27,14,5,265
,C,.581,.471,.590,.708,84,110,28,19,15,318
,C,.644,.333,.646,.707,244,382,188,85,87,582
,PF,.421,.348,.560,.717,109,208,107,38,56,580
,SF,.454,.359,.538,.679,44,136,33,17,30,579
,PG,.432,.390,.486,.866,21,96,205,11,42,578
,PG,.455,.397,.538,.841,5,57,109,3,22,291
,PG,.413,.382,.447,.913,16,39,96,8,20,287
,SG,.423,.384,.471,.763,13,114,74,20,32,565
,C,.501,.268,.562,.616,191,296,97,68,46,565
,C,.459,.277,.528,.571,50,86,44,12,16,193
